age;duration;campaign;pdays;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;job;marital;education;default;housing;loan;contact;month;day_of_week;previous;poutcome;y
40;178;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;no;yes;telephone;may;mon;0;nonexistent;1
35;355;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
45;225;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;0;nonexistent;1
54;160;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
39;266;1;999;1.1;93.994;-36.4;4.857;5191;housemaid;married;basic.4y;no;no;yes;telephone;may;mon;0;nonexistent;1
60;253;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
53;179;1;999;1.1;93.994;-36.4;4.857;5191;admin.;single;professional.course;no;no;no;telephone;may;mon;0;nonexistent;1
55;269;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;0;nonexistent;1
55;135;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;professional.course;unknown;yes;no;telephone;may;mon;0;nonexistent;1
50;161;1;999;1.1;93.994;-36.4;4.857;5191;management;married;university.degree;unknown;no;yes;telephone;may;mon;0;nonexistent;1
45;787;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;unknown;yes;no;telephone;may;mon;0;nonexistent;1
55;145;1;999;1.1;93.994;-36.4;4.857;5191;unemployed;married;professional.course;unknown;yes;yes;telephone;may;mon;0;nonexistent;1
25;174;1;999;1.1;93.994;-36.4;4.857;5191;technician;single;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
47;449;1;999;1.1;93.994;-36.4;4.857;5191;entrepreneur;married;university.degree;unknown;no;no;telephone;may;mon;0;nonexistent;1
51;812;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;0;nonexistent;1
42;164;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
42;366;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;unknown;no;no;telephone;may;mon;0;nonexistent;1
48;357;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
37;232;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
44;91;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;single;basic.9y;no;yes;no;telephone;may;mon;0;nonexistent;1
33;273;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;unknown;no;yes;no;telephone;may;mon;0;nonexistent;1
56;158;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;basic.9y;no;yes;no;telephone;may;mon;0;nonexistent;1
44;177;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;single;basic.4y;unknown;yes;yes;telephone;may;mon;0;nonexistent;1
41;200;1;999;1.1;93.994;-36.4;4.857;5191;management;married;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
44;172;1;999;1.1;93.994;-36.4;4.857;5191;management;divorced;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
47;176;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;0;nonexistent;1
57;211;1;999;1.1;93.994;-36.4;4.857;5191;unknown;married;unknown;unknown;no;no;telephone;may;mon;0;nonexistent;1
37;214;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;0;nonexistent;1
41;1575;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;divorced;basic.4y;unknown;yes;no;telephone;may;mon;0;nonexistent;2
55;349;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
33;337;2;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;unknown;yes;no;telephone;may;mon;0;nonexistent;1
55;272;1;999;1.1;93.994;-36.4;4.857;5191;management;married;unknown;unknown;yes;no;telephone;may;mon;0;nonexistent;1
42;208;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
50;193;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
51;212;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;unknown;unknown;telephone;may;mon;0;nonexistent;1
38;165;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;unknown;no;no;telephone;may;mon;0;nonexistent;1
49;1042;1;999;1.1;93.994;-36.4;4.857;5191;entrepreneur;married;university.degree;unknown;yes;no;telephone;may;mon;0;nonexistent;2
38;20;1;999;1.1;93.994;-36.4;4.857;5191;technician;single;university.degree;no;no;yes;telephone;may;mon;0;nonexistent;1
31;246;1;999;1.1;93.994;-36.4;4.857;5191;admin.;divorced;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
41;529;2;999;1.1;93.994;-36.4;4.857;5191;management;married;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
39;192;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;yes;telephone;may;mon;0;nonexistent;1
49;1467;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;basic.9y;no;no;no;telephone;may;mon;0;nonexistent;2
34;188;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
35;180;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
57;48;1;999;1.1;93.994;-36.4;4.857;5191;unknown;married;unknown;unknown;yes;no;telephone;may;mon;0;nonexistent;1
60;213;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;unknown;unknown;no;yes;telephone;may;mon;0;nonexistent;1
33;545;1;999;1.1;93.994;-36.4;4.857;5191;unemployed;married;basic.9y;no;no;no;telephone;may;mon;0;nonexistent;1
42;583;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;no;no;yes;telephone;may;mon;0;nonexistent;1
45;221;1;999;1.1;93.994;-36.4;4.857;5191;services;married;professional.course;no;yes;no;telephone;may;mon;0;nonexistent;1
42;426;1;999;1.1;93.994;-36.4;4.857;5191;management;married;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
53;287;1;999;1.1;93.994;-36.4;4.857;5191;admin.;divorced;university.degree;unknown;no;no;telephone;may;mon;0;nonexistent;1
37;197;1;999;1.1;93.994;-36.4;4.857;5191;technician;single;professional.course;no;no;no;telephone;may;mon;0;nonexistent;1
44;257;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
54;229;1;999;1.1;93.994;-36.4;4.857;5191;services;married;unknown;no;yes;no;telephone;may;mon;0;nonexistent;1
49;55;3;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;no;no;no;telephone;may;mon;0;nonexistent;1
54;400;1;999;1.1;93.994;-36.4;4.857;5191;services;married;unknown;no;no;no;telephone;may;mon;0;nonexistent;1
52;197;1;999;1.1;93.994;-36.4;4.857;5191;admin.;divorced;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
52;190;1;999;1.1;93.994;-36.4;4.857;5191;admin.;divorced;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
43;21;1;999;1.1;93.994;-36.4;4.857;5191;services;single;high.school;unknown;no;no;telephone;may;mon;0;nonexistent;1
34;300;2;999;1.1;93.994;-36.4;4.857;5191;housemaid;married;basic.6y;no;yes;no;telephone;may;mon;0;nonexistent;1
35;123;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
42;293;1;999;1.1;93.994;-36.4;4.857;5191;entrepreneur;married;unknown;unknown;yes;no;telephone;may;mon;0;nonexistent;1
43;325;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;unknown;unknown;yes;yes;telephone;may;mon;0;nonexistent;1
60;514;1;999;1.1;93.994;-36.4;4.857;5191;retired;divorced;university.degree;unknown;no;no;telephone;may;mon;0;nonexistent;1
58;849;2;999;1.1;93.994;-36.4;4.857;5191;unemployed;married;basic.4y;unknown;no;no;telephone;may;mon;0;nonexistent;1
35;194;1;999;1.1;93.994;-36.4;4.857;5191;services;divorced;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
55;212;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
37;337;2;999;1.1;93.994;-36.4;4.857;5191;management;married;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
36;286;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
52;247;2;999;1.1;93.994;-36.4;4.857;5191;admin.;divorced;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
57;518;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;divorced;unknown;unknown;yes;no;telephone;may;mon;0;nonexistent;1
56;364;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;unknown;no;yes;no;telephone;may;mon;0;nonexistent;1
48;178;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;divorced;basic.4y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
40;98;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;high.school;unknown;yes;no;telephone;may;mon;0;nonexistent;1
49;439;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;divorced;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
41;139;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
45;79;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
32;175;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;yes;telephone;may;mon;0;nonexistent;1
42;262;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;no;yes;telephone;may;mon;0;nonexistent;1
50;61;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
31;78;1;999;1.1;93.994;-36.4;4.857;5191;technician;divorced;professional.course;no;yes;yes;telephone;may;mon;0;nonexistent;1
56;102;2;999;1.1;93.994;-36.4;4.857;5191;retired;married;basic.4y;no;yes;no;telephone;may;mon;0;nonexistent;1
41;579;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;professional.course;unknown;yes;no;telephone;may;mon;0;nonexistent;2
37;143;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;no;yes;yes;telephone;may;mon;0;nonexistent;1
41;677;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;professional.course;unknown;no;no;telephone;may;mon;0;nonexistent;1
35;267;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;no;yes;no;telephone;may;mon;0;nonexistent;1
37;345;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;0;nonexistent;1
52;185;1;999;1.1;93.994;-36.4;4.857;5191;management;married;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
39;207;1;999;1.1;93.994;-36.4;4.857;5191;management;divorced;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
39;69;2;999;1.1;93.994;-36.4;4.857;5191;housemaid;married;basic.4y;unknown;no;no;telephone;may;mon;0;nonexistent;1
56;100;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;0;nonexistent;1
34;125;2;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
45;461;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;unknown;yes;no;telephone;may;mon;0;nonexistent;2
43;240;1;999;1.1;93.994;-36.4;4.857;5191;unemployed;single;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
56;70;1;999;1.1;93.994;-36.4;4.857;5191;management;married;unknown;no;yes;no;telephone;may;mon;0;nonexistent;1
39;193;1;999;1.1;93.994;-36.4;4.857;5191;management;married;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
53;136;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;0;nonexistent;1
38;73;1;999;1.1;93.994;-36.4;4.857;5191;unknown;divorced;high.school;unknown;yes;no;telephone;may;mon;0;nonexistent;1
42;528;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
42;541;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;0;nonexistent;1
35;338;1;999;1.1;93.994;-36.4;4.857;5191;admin.;single;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
40;163;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;0;nonexistent;1
51;87;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;0;nonexistent;1
60;301;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
56;46;1;999;1.1;93.994;-36.4;4.857;5191;entrepreneur;married;unknown;unknown;yes;no;telephone;may;mon;0;nonexistent;1
39;52;1;999;1.1;93.994;-36.4;4.857;5191;services;divorced;high.school;unknown;yes;no;telephone;may;mon;0;nonexistent;1
56;204;1;999;1.1;93.994;-36.4;4.857;5191;entrepreneur;married;unknown;unknown;no;no;telephone;may;mon;0;nonexistent;1
40;155;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;no;yes;yes;telephone;may;mon;0;nonexistent;1
36;98;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;0;nonexistent;1
51;71;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;unknown;yes;no;telephone;may;mon;0;nonexistent;1
51;243;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;0;nonexistent;1
43;186;2;999;1.1;93.994;-36.4;4.857;5191;technician;single;professional.course;no;yes;no;telephone;may;mon;0;nonexistent;1
59;579;2;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
24;165;2;999;1.1;93.994;-36.4;4.857;5191;management;single;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
37;163;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;single;basic.9y;unknown;yes;yes;telephone;may;mon;0;nonexistent;1
40;46;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
42;559;3;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
39;2033;1;999;1.1;93.994;-36.4;4.857;5191;services;divorced;high.school;unknown;no;no;telephone;may;mon;0;nonexistent;1
37;85;1;999;1.1;93.994;-36.4;4.857;5191;entrepreneur;married;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
38;506;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;yes;yes;telephone;may;mon;0;nonexistent;1
56;114;2;999;1.1;93.994;-36.4;4.857;5191;admin.;divorced;unknown;unknown;no;no;telephone;may;mon;0;nonexistent;1
40;114;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;no;no;no;telephone;may;mon;0;nonexistent;1
54;843;2;999;1.1;93.994;-36.4;4.857;5191;management;divorced;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
43;181;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;high.school;unknown;no;yes;telephone;may;mon;0;nonexistent;1
36;427;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;unknown;no;no;telephone;may;mon;0;nonexistent;1
45;292;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;university.degree;no;yes;yes;telephone;may;mon;0;nonexistent;1
42;192;1;999;1.1;93.994;-36.4;4.857;5191;admin.;single;university.degree;unknown;no;no;telephone;may;mon;0;nonexistent;1
43;93;3;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
46;128;2;999;1.1;93.994;-36.4;4.857;5191;management;married;basic.9y;no;no;no;telephone;may;mon;0;nonexistent;1
44;107;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;yes;yes;telephone;may;mon;0;nonexistent;1
51;303;2;999;1.1;93.994;-36.4;4.857;5191;admin.;single;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
28;81;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
37;270;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;no;no;telephone;may;mon;0;nonexistent;1
34;228;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
46;240;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
42;673;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;0;nonexistent;2
36;233;3;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
54;102;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;0;nonexistent;1
57;461;1;999;1.1;93.994;-36.4;4.857;5191;management;married;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
51;250;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;basic.6y;unknown;no;no;telephone;may;mon;0;nonexistent;1
54;130;1;999;1.1;93.994;-36.4;4.857;5191;retired;married;high.school;unknown;no;no;telephone;may;mon;0;nonexistent;1
49;252;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;0;nonexistent;1
34;138;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
41;412;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;professional.course;no;no;no;telephone;may;mon;0;nonexistent;1
38;179;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;single;basic.9y;no;yes;no;telephone;may;mon;0;nonexistent;1
45;19;2;999;1.1;93.994;-36.4;4.857;5191;management;divorced;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
42;228;2;999;1.1;93.994;-36.4;4.857;5191;technician;married;university.degree;no;no;no;telephone;may;mon;0;nonexistent;1
34;55;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;single;basic.9y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
48;717;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;0;nonexistent;1
37;313;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;unknown;yes;no;telephone;may;mon;0;nonexistent;1
34;289;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;single;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
40;683;2;999;1.1;93.994;-36.4;4.857;5191;admin.;married;basic.9y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
43;1077;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;0;nonexistent;1
33;146;2;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
32;167;1;999;1.1;93.994;-36.4;4.857;5191;services;single;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
39;356;2;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
43;277;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;unknown;no;no;no;telephone;may;mon;0;nonexistent;1
44;172;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;0;nonexistent;1
35;218;1;999;1.1;93.994;-36.4;4.857;5191;student;single;university.degree;unknown;no;no;telephone;may;mon;0;nonexistent;1
35;217;1;999;1.1;93.994;-36.4;4.857;5191;student;single;university.degree;unknown;yes;yes;telephone;may;mon;0;nonexistent;1
35;67;1;999;1.1;93.994;-36.4;4.857;5191;unemployed;married;professional.course;no;no;no;telephone;may;mon;0;nonexistent;1
36;291;1;999;1.1;93.994;-36.4;4.857;5191;services;single;basic.4y;no;no;no;telephone;may;mon;0;nonexistent;1
